url,temp_downloaded,user_decision,temp_path,final_path
https://images.unsplash.com/photo-1524129426126-1b85d8c74fd2?w=2000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTQyfHxpbmRpYXxlbnwwfHwwfHx8MA%3D%3D,yes,accepted,/Volumes/hard-drive/miscellaneous-files/website-interactions/temp_images/temp_image_29.jpg,/Volumes/hard-drive/miscellaneous-files/website-interactions/test/image_30.jpg
https://images.unsplash.com/profile-1592635409796-40626a182487image?w=32&dpr=2&crop=faces&bg=%23fff&h=32&auto=format&fit=crop&q=60&ixlib=rb-4.1.0,discarded,auto_skipped,,
https://images.unsplash.com/profile-1755741893911-8925c856e6ceimage?w=32&dpr=2&crop=faces&bg=%23fff&h=32&auto=format&fit=crop&q=60&ixlib=rb-4.1.0,error,skipped_error,,
https://images.unsplash.com/profile-1588258521015-4fe8d5153fc1image?w=32&dpr=2&crop=faces&bg=%23fff&h=32&auto=format&fit=crop&q=60&ixlib=rb-4.1.0,error,skipped_error,,
https://images.unsplash.com/photo-1542003488933-7cfa7453807a?w=2000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8Mzk0fHxpbmRpYXxlbnwwfHwwfHx8MA%3D%3D,yes,accepted,/Volumes/hard-drive/miscellaneous-files/website-interactions/temp_images/temp_image_33.jpg,/Volumes/hard-drive/miscellaneous-files/website-interactions/test/image_34.jpg
https://images.unsplash.com/profile-1587264601360-c1952d31d6c9image?w=32&dpr=2&crop=faces&bg=%23fff&h=32&auto=format&fit=crop&q=60&ixlib=rb-4.1.0,discarded,auto_skipped,,
https://images.unsplash.com/photo-1463559830741-e117d53be7c0?w=2000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MzMxfHxpbmRpYXxlbnwwfHwwfHx8MA%3D%3D,yes,accepted,/Volumes/hard-drive/miscellaneous-files/website-interactions/temp_images/temp_image_35.jpg,/Volumes/hard-drive/miscellaneous-files/website-interactions/test/image_36.jpg
https://images.unsplash.com/photo-1552761814-7e3fd0b3aa86?w=2000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MzIwfHxpbmRpYXxlbnwwfHwwfHx8MA%3D%3D,yes,accepted,/Volumes/hard-drive/miscellaneous-files/website-interactions/temp_images/temp_image_36.jpg,/Volumes/hard-drive/miscellaneous-files/website-interactions/test/image_37.jpg
https://images.unsplash.com/profile-1585583324809-40751fa6210dimage?w=32&dpr=2&crop=faces&bg=%23fff&h=32&auto=format&fit=crop&q=60&ixlib=rb-4.1.0,discarded,auto_skipped,,
https://images.unsplash.com/profile-1707735915173-11f84df0d7feimage?w=32&dpr=2&crop=faces&bg=%23fff&h=32&auto=format&fit=crop&q=60&ixlib=rb-4.1.0,discarded,auto_skipped,,
https://images.unsplash.com/profile-1591108831365-c8b8190930faimage?w=32&dpr=2&crop=faces&bg=%23fff&h=32&auto=format&fit=crop&q=60&ixlib=rb-4.1.0,discarded,auto_skipped,,
